tx_timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,temperature,altitude,latitude,longitude,satellites,flags_raw,battery_voltage
37392,0.00,0.00,0.02,0.00,-0.06,-0.06,-6.0,91.3,0.0,33.32,1.20,0.000000,0.000000,0,3,7.28
37520,0.00,0.00,0.01,0.00,-0.06,-0.06,-6.0,91.3,0.0,33.34,1.13,0.000000,0.000000,0,3,2147483647.//
37622,0.00,0.00,0.00,-0.06,0.00,-0.12,-6.0,91.3,0.0,33.35,1.35,0.000000,0.000000,0,3,2147483647.//
37724,0.00,0.02,0.00,-0.12,0.18,0.00,-6.0,91.3,0.0,33.35,1.25,0.000000,0.000000,0,3,2147483647.//
37826,0.00,0.02,0.03,0.06,0.00,-0.06,-6.0,91.3,0.0,33.35,1.27,0.000000,0.000000,0,3,2147483647.//
37928,0.01,0.02,0.01,0.06,0.00,0.06,-6.0,91.3,0.0,33.37,1.10,0.000000,0.000000,0,3,2147483647.//
38030,0.00,0.00,0.02,0.00,0.00,0.18,-6.0,91.3,0.0,33.37,1.18,0.000000,0.000000,0,3,2147483647.//
38149,-0.01,0.02,0.00,0.00,0.18,-0.12,-6.0,91.3,0.0,33.38,0.96,0.000000,0.000000,0,3,2147483647.//
38353,0.00,0.01,0.05,0.00,0.12,-0.25,-6.0,91.3,0.0,33.41,0.40,0.000000,0.000000,0,3,7.25
38557,0.00,0.01,0.01,-0.06,0.00,-0.25,-6.0,91.3,0.0,33.45,-0.12,0.000000,0.000000,0,3,7.25
38760,0.00,0.03,0.02,0.06,0.06,0.06,-6.0,91.3,0.0,33.50,-0.72,0.000000,0.000000,0,3,7.25
38964,0.00,0.00,0.00,0.00,-0.06,0.12,-6.0,91.3,0.0,33.53,-1.43,0.000000,0.000000,0,3,7.25
39236,0.00,0.02,0.05,0.00,-0.06,-0.12,-6.0,91.3,0.0,33.61,-2.51,0.000000,0.000000,0,3,7.25
39542,0.00,0.02,0.05,0.06,-0.06,0.18,-6.0,91.3,0.0,33.67,-2.87,0.000000,0.000000,0,3,7.25
39746,0.00,0.00,0.03,-0.06,0.06,0.06,-6.0,91.3,0.0,33.72,-2.99,0.000000,0.000000,0,3,7.25
39950,0.00,0.02,0.05,0.06,0.00,-0.12,-6.0,91.3,0.0,33.77,-3.53,0.000000,0.000000,0,3,7.25
40222,0.00,0.02,0.00,0.12,-0.06,0.06,-6.0,91.3,0.0,33.83,-3.96,0.000000,0.000000,0,3,7.25
40426,0.00,0.01,-0.01,-0.06,0.00,0.00,-6.0,91.3,0.0,33.88,-4.23,0.000000,0.000000,0,3,7.26
40630,0.01,0.03,0.02,0.06,-0.06,-0.06,-6.0,91.3,0.0,33.93,-4.37,0.000000,0.000000,0,3,7.26
40834,0.00,0.02,0.02,0.12,0.06,0.00,-6.0,91.3,0.0,33.98,-4.41,0.000000,0.000000,0,3,7.26
41157,0.00,0.01,0.01,-0.12,0.00,0.06,-6.0,91.3,0.0,34.04,-4.11,0.000000,0.000000,0,3,7.26
41361,-0.00,0.01,0.05,0.00,-0.06,-0.25,-6.0,91.3,0.0,34.09,-4.11,0.000000,0.000000,0,3,7.28
41565,-0.01,0.01,0.03,0.00,0.00,0.00,-6.0,91.3,0.0,34.13,-4.14,0.000000,0.000000,0,3,7.28
41769,0.01,0.00,0.05,0.06,0.00,0.06,-6.0,91.3,0.0,34.16,-4.13,0.000000,0.000000,0,3,7.28
41973,0.00,0.01,0.05,0.06,0.00,0.06,-6.0,91.3,0.0,34.19,-4.07,0.000000,0.000000,0,3,7.28
42245,0.00,0.02,0.03,-0.06,0.12,0.06,-6.0,91.3,0.0,34.25,-3.97,0.000000,0.000000,0,3,7.28
42551,0.00,0.01,0.03,0.00,0.00,-0.12,-6.0,91.3,0.0,34.31,-3.84,0.000000,0.000000,0,3,7.25
42755,-0.00,0.01,0.01,0.00,0.18,0.18,-6.0,91.3,0.0,34.35,-3.60,0.000000,0.000000,0,3,7.25
42959,0.00,0.02,0.00,0.06,0.06,0.00,-6.0,91.3,0.0,34.38,-3.65,0.000000,0.000000,0,3,7.25
43282,0.02,0.02,0.05,0.06,-0.12,-0.06,-6.0,91.3,0.0,34.43,-3.00,0.000000,0.000000,0,3,7.25
43486,0.00,0.02,0.07,0.06,0.06,0.00,-6.0,91.3,0.0,34.46,-3.11,0.000000,0.000000,0,3,7.26
43690,0.00,0.01,0.03,0.06,-0.06,0.00,-6.0,91.3,0.0,34.49,-2.96,0.000000,0.000000,0,3,7.26
43894,0.01,0.00,0.07,-0.06,0.18,-0.06,-6.0,91.3,0.0,34.52,-2.57,0.000000,0.000000,0,3,7.26
44166,-0.00,0.03,0.07,0.00,0.00,0.18,-6.0,91.3,0.0,34.56,-2.32,0.000000,0.000000,0,3,7.26
44370,-0.01,0.00,-0.00,0.25,-0.12,0.18,-6.0,91.3,0.0,34.58,-2.55,0.000000,0.000000,0,3,7.26
44574,0.00,0.03,0.01,0.00,0.06,-0.06,-6.0,91.3,0.0,34.61,-2.51,0.000000,0.000000,0,3,7.26
44778,0.00,0.02,0.01,-0.06,-0.18,-0.18,-6.0,91.3,0.0,34.65,-2.44,0.000000,0.000000,0,3,7.26
45153,0.00,0.00,0.01,0.00,0.00,-0.12,-6.0,91.3,0.0,34.70,-2.11,0.000000,0.000000,0,3,7.26
45356,0.00,0.02,0.01,0.12,-0.06,-0.06,-6.0,91.3,0.0,34.72,-2.35,0.000000,0.000000,0,3,7.26
45560,0.00,0.00,0.03,-0.06,0.00,0.00,-6.0,91.3,0.0,34.74,-2.32,0.000000,0.000000,0,3,7.26
45764,-0.01,0.00,-0.09,0.06,-0.18,-0.25,-6.0,91.3,0.0,34.77,-2.16,0.000000,0.000000,0,3,7.26
45968,0.02,0.00,-0.05,0.06,-0.25,0.18,-6.0,91.3,0.0,34.78,-2.07,0.000000,0.000000,0,3,7.26
46291,0.02,0.02,-0.05,-0.06,-0.06,0.06,-6.0,91.3,0.0,34.83,-1.66,0.000000,0.000000,0,3,7.26
46495,0.00,0.00,0.03,-0.06,-0.18,0.00,-6.0,91.3,0.0,34.87,-1.79,0.000000,0.000000,0,3,7.25
46699,0.00,0.03,0.05,0.06,0.00,-0.06,-6.0,91.3,0.0,34.87,-1.59,0.000000,0.000000,0,3,7.25
46903,0.00,0.02,0.07,0.06,0.12,-0.12,-6.0,91.3,0.0,34.91,-1.80,0.000000,0.000000,0,3,7.25
47175,2.39,2.04,0.27,-84.18,-17.31,44.56,-1.0,86.1,357.0,34.92,-1.02,0.000000,0.000000,0,3,7.25
47379,1.14,-1.02,-0.98,-86.12,-22.75,-8.43,-11.3,68.1,7.8,34.95,-1.04,0.000000,0.000000,0,3,7.24
47685,-0.05,-1.29,0.00,-30.68,-26.00,-0.81,-18.4,52.8,15.8,34.99,-0.43,0.000000,0.000000,0,3,7.24
47889,0.27,-0.80,0.72,39.93,-10.50,4.43,-15.2,60.0,14.6,35.01,-0.55,0.000000,0.000000,0,3,7.24
48093,0.07,-0.46,-0.37,-21.31,16.75,-3.12,-14.6,62.5,10.7,35.02,-0.49,0.000000,0.000000,0,3,7.24
48314,-0.86,-1.21,-2.24,-95.06,91.68,20.68,-17.0,55.6,1.2,35.04,-0.76,0.000000,0.000000,0,3,7.24
48518,0.52,0.65,0.88,-13.50,-42.25,36.93,-15.0,50.2,356.8,35.07,-0.65,0.000000,0.000000,0,3,7.25
48722,-0.23,-0.61,-1.28,-5.87,-30.62,10.31,-1.2,48.3,358.2,35.09,-0.74,0.000000,0.000000,0,3,7.25
49028,0.88,0.20,-1.12,29.81,4.25,-100.68,-11.8,46.5,26.3,35.13,-1.21,0.000000,0.000000,0,3,7.25
49300,0.22,-1.57,-0.60,6.18,22.06,-72.31,-35.0,51.8,45.8,35.16,-0.84,0.000000,0.000000,0,3,7.25
49504,-0.07,1.19,-0.05,-53.37,-27.43,105.50,-13.6,55.8,25.0,35.18,-0.98,0.000000,0.000000,0,3,7.24
49708,-0.07,-0.30,-0.23,-34.25,-0.31,53.18,-4.1,48.5,13.9,35.20,-1.10,0.000000,0.000000,0,3,7.24
49912,0.65,0.15,-0.05,-5.87,-12.31,37.31,5.1,44.5,2.8,35.23,-0.69,0.000000,0.000000,0,3,7.24
50185,0.41,-0.03,-0.05,36.56,12.81,-28.50,3.1,48.1,4.3,35.25,-1.43,0.000000,0.000000,0,3,7.24
